Player_Name,Player_Img_Url,P_Country_Url
kalidou koulibaly,https://img.a.transfermarkt.technology/portrait/big/93128-1448528991.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/149.png?lm=1520611569
lorenzo insigne,https://img.a.transfermarkt.technology/portrait/big/133964-1537708558.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
ruben dias,https://img.a.transfermarkt.technology/portrait/big/258004-1572340728.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/136.png?lm=1520611569
nicolas pepe,https://img.a.transfermarkt.technology/portrait/big/343052-1539166309.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/38.png?lm=1520611569
vinicius junior,https://img.a.transfermarkt.technology/portrait/big/371998-1624277492.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/26.png?lm=1520611569
samuel umtiti,https://img.a.transfermarkt.technology/portrait/big/126540-1598302607.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
leon goretzka,https://img.a.transfermarkt.technology/portrait/big/153084-1540568530.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/40.png?lm=1520612525
miralem pjanic,https://img.a.transfermarkt.technology/portrait/big/44162-1643282459.png?lm=1,https://tmssl.akamaized.net/images/flagge/medium/24.png?lm=1569523290
lucas hernandez,https://img.a.transfermarkt.technology/portrait/big/281963-1569907038.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
thiago,https://img.a.transfermarkt.technology/portrait/big/60444-1540568423.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
achraf hakimi,https://img.a.transfermarkt.technology/portrait/big/398073-1633679363.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/107.png?lm=1520611569
alexis sanchez,https://img.a.transfermarkt.technology/portrait/big/40433-1596115275.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/33.png?lm=1520611569
arthur,https://img.a.transfermarkt.technology/portrait/big/362842-1599988056.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/26.png?lm=1520611569
jordi alba,https://img.a.transfermarkt.technology/portrait/big/69751-1454079452.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
david de gea,https://img.a.transfermarkt.technology/portrait/big/59377-1454414410.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
fabinho,https://img.a.transfermarkt.technology/portrait/big/225693-1580133493.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/26.png?lm=1520611569
harry maguire,https://img.a.transfermarkt.technology/portrait/big/177907-1520608280.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
declan rice,https://img.a.transfermarkt.technology/portrait/big/357662-1624883831.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
ederson,https://img.a.transfermarkt.technology/portrait/big/238223-1474545573.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/26.png?lm=1520611569
jose maria gimenez,https://img.a.transfermarkt.technology/portrait/big/250845-1447152624.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/179.png?lm=1520611569
mikel oyarzabal,https://img.a.transfermarkt.technology/portrait/big/351478-1599987229.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
koke,https://img.a.transfermarkt.technology/portrait/big/74229-1447152736.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
thomas lemar,https://img.a.transfermarkt.technology/portrait/big/205562-1598303859.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
nabil fekir,https://img.a.transfermarkt.technology/portrait/big/203496-1448021651.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
ivan rakitic,https://img.a.transfermarkt.technology/portrait/big/32467-1568021662.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/37.png?lm=1520611569
marcelo,https://img.a.transfermarkt.technology/portrait/big/44501-1603112392.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/26.png?lm=1520611569
federico valverde,https://img.a.transfermarkt.technology/portrait/big/369081-1581501132.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/179.png?lm=1520611569
alexandre lacazette,https://img.a.transfermarkt.technology/portrait/big/93720-1594110895.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
federico chiesa,https://img.a.transfermarkt.technology/portrait/big/341092-1596098386.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
jude bellingham,https://img.a.transfermarkt.technology/portrait/big/581678-1603353524.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
andres iniesta,https://img.a.transfermarkt.technology/portrait/big/7600-1464872266.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
xavi,https://img.a.transfermarkt.technology/portrait/big/7607-1476882942.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/157.png?lm=1520611569
wayne rooney,https://img.a.transfermarkt.technology/portrait/big/3332-1551295290.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
anthony martial,https://img.a.transfermarkt.technology/portrait/big/182877-1595947846.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/50.png?lm=1520611569
gianluigi donnarumma,https://img.a.transfermarkt.technology/portrait/big/315858-1639581006.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/75.png?lm=1520611569
bukayo saka,https://img.a.transfermarkt.technology/portrait/big/433177-1582630395.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/189.png?lm=1520611569
angel di maria,https://img.a.transfermarkt.technology/portrait/big/45320-1602849270.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/9.png?lm=1520611569
naby keita,https://img.a.transfermarkt.technology/portrait/big/302215-1503302375.jpg?lm=1,https://tmssl.akamaized.net/images/flagge/medium/59.png?lm=1520611569
